nodes,classes,q,p,graphs,lr,epochs,permutations,dropout,test_accuracy,spectral_accuracy
50,2,0.05,0.7,1000,0.0001,50,True,0,0.9617999792098999,-1
50,2,0.05,0.7,1000,0.0001,50,False,0,0.9423999786376953,-1
50,2,0.05,0.7,1000,0.0001,100,False,0,0.9836000204086304,-1
50,2,0.05,0.7,1000,0.0001,100,True,0.3,0.9643999934196472,-1
50,2,0.10,0.9,1000,0.001,100,True,0.3,0.9453999996185303,-1
100,2,0.1,0.9,1000,0.0001,200,False,0.1,0.9868999719619751,-1
100,3,0.1,0.9,1000,0.0001,100,True,0.1,0.800599992275238,-1
100,2,0.1,0.6,1000,0.0001,100,True,0.3,0.9218999743461609,-1
200,3,0.05,0.8,1000,0.0001,100,False,0.2,0.7902500033378601,-1
100,3,0.05,0.7,1200,0.0001,100,False,0,0.82125002,-1
100,3,0.05,0.7,1200,0.0001,100,True,0,0.77633333,-1
100,3,0.3,0.7,1000,0.0005,300,False,0.3,0.59882498,0.99740000
200,3,0.1,0.9,800,0.0001,200,False,0.3,0.80572658,1.00000000
200,3,0.1,0.9,800,0.0001,200,True,0.3,0.78703123,1.00000000
100,2,0.1,0.9,800,0.0001,200,True,0.1,0.96718752,1.00000000
100,3,0.2,0.7,800,0.0001,100,True,0.1,0.72043753,0.99987500
80,3,0.2,0.7,700,0.0001,200,True,0.1,0.70285714,0.99973214
80,3,0.2,0.7,700,0.0001,20,True,0.1,0.39151785,0.99991071
70,3,0.08,0.6,700,0.0001,200,True,0.1,0.79030615,0.99979592
60,3,0.2,0.8,600,0.0001,200,True,0.1,0.73597223,1.00000000
